epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,18974.5,0.8166,0.46306,0.89685,0.89395,0.77955,0.8408,0.55284,1.22067,0.71997,1.07262,0.000236083,0.000236083,0.000236083
72,19239.3,0.79919,0.46139,0.89737,0.89429,0.79093,0.84699,0.57253,1.2124,0.72518,1.0728,0.00022847,0.00022847,0.00022847
73,19505.1,0.77749,0.45363,0.88784,0.87552,0.80495,0.85184,0.55946,1.22842,0.71412,1.07624,0.000220857,0.000220857,0.000220857
74,19771.4,0.80106,0.45874,0.89477,0.86129,0.81348,0.8484,0.56311,1.22141,0.72376,1.07395,0.000213244,0.000213244,0.000213244
75,20034.6,0.78572,0.45573,0.89315,0.8495,0.81594,0.8452,0.56548,1.216,0.72215,1.07156,0.000205631,0.000205631,0.000205631
76,20300.1,0.78061,0.4527,0.89227,0.88566,0.81118,0.85112,0.55804,1.21765,0.71664,1.07307,0.000198018,0.000198018,0.000198018
77,20564.2,0.78606,0.45114,0.89096,0.89016,0.80662,0.84992,0.55648,1.24233,0.71527,1.06991,0.000190404,0.000190404,0.000190404
78,20829.1,0.79169,0.45039,0.8926,0.91355,0.77685,0.84561,0.56706,1.214,0.71376,1.074,0.000182791,0.000182791,0.000182791
79,21095.1,0.7819,0.44674,0.88762,0.9084,0.79079,0.8466,0.55735,1.23073,0.70825,1.07715,0.000175178,0.000175178,0.000175178
80,21359.4,0.75843,0.44217,0.88684,0.89151,0.80393,0.85541,0.56566,1.22519,0.71621,1.07174,0.000167565,0.000167565,0.000167565
81,21624.8,0.77276,0.44582,0.88761,0.87593,0.79636,0.8441,0.55872,1.22692,0.71693,1.08402,0.000159952,0.000159952,0.000159952
82,21890.1,0.75442,0.43992,0.88242,0.87037,0.80172,0.84741,0.56802,1.21909,0.70235,1.08081,0.000152339,0.000152339,0.000152339
83,22155.6,0.75399,0.43956,0.88294,0.90301,0.78508,0.84628,0.56705,1.21834,0.69895,1.07782,0.000144726,0.000144726,0.000144726
84,22421.5,0.77163,0.44371,0.88649,0.91019,0.79687,0.84611,0.55844,1.20414,0.70298,1.06829,0.000137113,0.000137113,0.000137113
85,22687.4,0.75533,0.4369,0.88355,0.87705,0.8197,0.84663,0.56176,1.22986,0.70636,1.07342,0.0001295,0.0001295,0.0001295
86,22952.2,0.75857,0.43816,0.88476,0.86517,0.82083,0.84342,0.55628,1.21896,0.706,1.07667,0.000121887,0.000121887,0.000121887
87,23216.5,0.75446,0.43544,0.88249,0.85995,0.81862,0.83887,0.55793,1.23297,0.71624,1.08151,0.000114273,0.000114273,0.000114273
88,23481.8,0.73683,0.42803,0.88052,0.84895,0.81462,0.84104,0.55943,1.21752,0.70926,1.07348,0.00010666,0.00010666,0.00010666
89,23747.3,0.73841,0.42834,0.87894,0.84299,0.82008,0.84035,0.56425,1.21871,0.71096,1.07995,9.90472e-05,9.90472e-05,9.90472e-05
90,24012.2,0.74491,0.43236,0.87878,0.89656,0.78642,0.83739,0.56199,1.22684,0.70553,1.07931,9.14341e-05,9.14341e-05,9.14341e-05
91,24266.6,0.7228,0.40893,0.85934,0.87886,0.78089,0.8324,0.54607,1.24621,0.74098,1.09186,8.3821e-05,8.3821e-05,8.3821e-05
92,24521,0.69111,0.38701,0.8522,0.84637,0.79144,0.82652,0.54911,1.25234,0.74471,1.09159,7.62079e-05,7.62079e-05,7.62079e-05
93,24775.7,0.68278,0.38309,0.85217,0.84722,0.79048,0.82708,0.55411,1.24974,0.74037,1.08788,6.85948e-05,6.85948e-05,6.85948e-05
94,25054.2,0.67189,0.37593,0.84921,0.87283,0.78211,0.8325,0.54891,1.24567,0.73291,1.08434,6.09817e-05,6.09817e-05,6.09817e-05
95,25328.2,0.65871,0.374,0.84538,0.86849,0.79174,0.82907,0.55174,1.24096,0.71864,1.08359,5.33686e-05,5.33686e-05,5.33686e-05
96,25608.9,0.66923,0.3799,0.84655,0.8598,0.79429,0.83365,0.55214,1.23888,0.72384,1.08871,4.57555e-05,4.57555e-05,4.57555e-05
97,25886.9,0.65337,0.37103,0.8449,0.88646,0.7856,0.83328,0.54995,1.23847,0.71459,1.08299,3.81424e-05,3.81424e-05,3.81424e-05
98,26166.5,0.64675,0.36757,0.84305,0.86755,0.79834,0.83208,0.55649,1.23786,0.7211,1.08528,3.05293e-05,3.05293e-05,3.05293e-05
99,26444.4,0.64677,0.36843,0.84265,0.84664,0.81105,0.83417,0.55188,1.23523,0.71695,1.08175,2.29162e-05,2.29162e-05,2.29162e-05
100,26723,0.63983,0.36616,0.84103,0.8567,0.8043,0.8329,0.55354,1.23086,0.71586,1.07998,1.53031e-05,1.53031e-05,1.53031e-05
